帕莎蒂娜驳二仓库餐厅 & 帕莎蒂娜烘焙坊,地址:高雄市盐埕区大勇路1号 ,5311106
香港煎堡,地址:花蓮縣吉安鄉中山路三段219號,
林记烧番麦,地址:970台湾花蓮縣花蓮市中山路50號,
北港春卷,地址:花莲市中山路50号东大门自强夜市 ,0935254794
美琪烤玉米,地址:花莲市中正路396号 ,0933798385
高大侠海鲜烧烤BAR,地址:花莲市中山路50号东大门自强夜市 ,0926908026
華蓮天地風味餐廳,"地址:順安村北三棧10之2號 新城鄉, 花蓮縣 971 Taiwan ",+886 3 8610212
永丰活海鲜餐厅,地址:台灣花蓮縣吉安鄉中原路一段271號 ,8511000
秋叶坊寿司屋,地址:花莲县吉安乡建国路二段450号 ,8462223
爱知味,地址:花蓮市南濱路一段102號 ,8528855
珈琲铺子,地址:节约街8号珈琲舖子 ,8322575
1709 Cafe' Bar,地址:花蓮縣花蓮市國聯二路40號 ,+866-975494851
花蓮鹽酥雞,地址:花蓮市主勸里自由街106號,
iKiwi趣味果飲,地址:中正路542號,
芳莱小吃,地址:花莲市自由街128号 ,8339538
江妈妈香酥鸡,地址:花莲县吉安乡中正路一段18号 ,+886-988227836
太平洋食府,地址:花蓮縣新城鄉新興一路88號,
北港春捲,地址:970台湾花蓮縣花蓮市國富十六街6號,
胖胡子铁板烧,地址:970台湾花蓮縣花蓮市博愛街191號,
吉香炸蛋葱油饼,地址:花莲博愛街,
猪大郎猪血糕,地址:花莲市中山路50号东大门夜市B52,
玛卡多庭园咖啡,地址:瑞穗乡温泉路二段311号,
向阳山茶铺,地址:973台湾花蓮縣吉安鄉 山邊136之1號,
鮮鮮果汁吧,地址:970台湾花蓮縣花蓮市中山路41巷1號,
天祥晶英度假酒店,地址:秀林乡天祥路18号 ,8691155
七星客栈,地址:台湾花莲县新城乡七星街79巷5号 ,8221592
胖老爹石来运转店,地址:花蓮市中山路52號 ,+886-38327130
花莲翰品酒店翡翠园西餐厅,地址:花莲县花莲市永兴路2号 ,8221035
来+奇想咖啡 Studio Cafe,地址:花莲县花莲市中山路131巷4号 ,0989214519
马丁娜印度餐厅,地址:花莲县花莲市和平路482号 ,8334921
古记牛肉面,地址:自强路自强夜市内,
锅神日式涮涮锅,地址:花莲县国联五路55号 ,8353035
海风美食馆,地址:花莲市中美路52号 ,8311298
莲香面店,地址:花莲市南京街270号,
富贵小火锅,地址:吉安乡自强路390号 ,+886-0973461155
太监鸡御膳坊,地址:花蓮市國聯四路34號 ,8338395
OH LA LA 法式薄餅 · 家常菜,地址:花蓮縣花蓮市中山路611號,
葛爸的鱼,地址:台湾花莲县花莲市复兴街36号 ,8356376
绿精灵瑞穗鲜奶锅,地址:瑞穗乡成功北路52号 ,8876306
北港春捲,地址:970台湾花蓮縣花蓮市和平路388巷3號,
花中榕树下臭豆腐,地址:花莲市中美路1号,
鹵底撈中華店,地址:花蓮市中華路4號,
橄榄园,地址:花莲县花莲市民国路78号,
来来烤肉,地址:花莲市中山路50号东大门自强夜市摊位E49 ,0933797517
天祥餐厅,地址:花莲县秀林乡天祥路18号 ,9682715
我最夯火烤鮮蝦,地址:东大门自强夜市 ,+886-8542275
小小兔子廚房,地址:花蓮市明義街51號,
常春藤素食,地址:花莲市富安路22号1楼 ,8569069
奇幻地咖啡馆,地址:970台湾花蓮縣花蓮市和平路597號2 ,+886-3-8321883
阿傅师手工麻薯,地址:花莲县花莲市林荣街116巷21号 ,+886-38332593
冰心茶王冷饮站,地址:国联五路82号,
丰兴饼铺,地址:花莲县花莲市中华路107号 ,8352606
一心泡泡冰分店,地址:国联五路,
花莲扁食,地址:花莲市中正路307号 ,8326370
193水果室,地址:中山路193号 ,+886-3-8325169
桶一天下,地址:花莲博爱路和民国路交叉口,
曼波风味小吃,地址:花莲县七星街,
冰山客,地址:吉安乡中山路2号 ,8526401
米果早餐店,地址:國富十街149號,
日式炸饭团,地址:自强夜市内,
收留四季甜品屋,地址:花蓮縣花蓮市松園街56號 ,+886-935945219
花蓮鯉魚潭阿嬤木瓜牛奶,地址:974台湾花蓮縣壽豐鄉池南路一段58號,
两津食堂,地址:花蓮縣吉安鄉干城二街357號,
拍手叫好,地址:花莲县花莲市中原路656号 ,8315876
巨林美而美,"地址:公園路7號 花蓮市, 花蓮縣 970 Taiwan ",+886 3 8353647
璞石,地址:花莲市明礼路8号 ,8345968
吴记当归羊肉,地址:自强夜市内,
争鲜回转寿司,地址:花莲县中正路582号 ,8339753
美仑海鲜料理,地址:花蓮市中美路263-2號,
火车头道地美式烟燻烤肉屋,地址:花莲县花莲市中山路147号,
当归羊肉,地址:花莲市自强路（自强夜市内）,
海口蚵仔煎,地址:軒轅路,
台北牛排专卖店,地址:花莲县自由街76号 ,8329570
花莲24小时钢管红茶店,地址:花莲县花莲市成功街216号,
田妈妈鱼鲜上岸,地址:花莲县港滨路37号 ,8222968
台南虱目鱼,地址:花蓮市中正路571號,
花莲市小毛牛肉面,地址:花莲市明心街6-1号 ,8341519
天祥青年活动中心,地址:秀林乡天祥路30号 ,8691111
大陆面店,地址:吉安乡吉安路六段31号 ,+886-8526668
花莲港餐厅,地址:花莲市海岸路4号 ,8234567
新站虱目鱼,地址:国联三路6之1号,
超人气早餐店,地址:國盛四街126號,
七海湾,地址:花莲县新城乡大汗村七星街152号 ,8237899
八丼,地址:台湾省花莲,
昕阳海鲜餐厅,地址:花莲县丰滨乡港口村石梯港港边96号 ,8781396
金吉利温州馄饨,地址:花莲县花莲市国联三路6-1号 ,+886-8362732
阿嬷ㄟ古早味,地址:花莲市大同街32号之1,
地6摊牛排,地址:地6摊牛排 ,+886-0984-099901
西堤牛排,地址:台湾花莲县花莲市国联一路173号 ,8334543
宜兰三星葱肉卷,地址:花莲安吉乡自强夜市,
惠比须饼铺,地址:花莲市中华路65号 ,38322856
原香嘟论竹筒饭,地址:花莲市中山路50号,
山本屋10元寿司屋,地址:自强路夜市 ,096023838
鲁豫小喫,地址:花莲市中美路39号 ,8326959
康乐渔村,地址:971花蓮縣新城鄉康樂村加灣1-2號 ,8263118
古味四神汤鲁肉饭,地址:花蓮市中山路420之1號 ,+886-3-8338777
丰兴饼舖,地址:花莲县花莲市中华路296-2号 ,8323436
麦当劳,地址:花蓮市中正路藍天麗池飯店對面,
月之廬食堂,地址:壽豐鄉壽豐村中華路一段36號,
秘密海,地址:台湾花蓮縣花蓮市，海濱街66號，1樓 ,8340448
黑芭比咖啡,地址:国联三路10号 ,8312812
现捞螺肉,地址:花蓮市中美路257號 ,1234567
周家小笼包蒸饺,地址:970台湾花莲市中山路509號,
胜脯铁板烧,地址:花莲县中山路104号 ,8329969
花蓮香抄手扁食,"地址:中正路171號 花蓮市, 花蓮縣 970 Taiwan ",+886 3 8335423
欧乡牛排馆,地址:花莲市中正路644号 ,8360340
大众扁食店,地址:花莲县火车站,
炸弹葱油饼,地址:东大门夜市C26,
十七街碳烤,地址:花莲市中华路41号,
阿美麻糬,地址:花莲县光复乡大进村糖厂街19-6号 ,8705777
邱家肉圆,地址:自由街和南京街的交汇处,
曾品台式麻辣臭豆腐,地址:花蓮市中山路224號,
时光1939,地址:花莲市民国路80巷16号,
鲤鱼潭水莲渡假饭店,地址:花莲县寿丰乡池南村林园路24-2号 ,8641818
太祖魷魚羹,地址:國聯五路,
五路鍋聖,地址:中山路531号 ,8332088
牛B葫芦王,地址:花莲市中山路50号东大门夜市摊位A48,
叁丸日式料理,地址:林森路293巷8号 ,8360999
牛巴达全牛料理店,地址:吉安乡南滨路一段140号 ,+886-3-8537979
乐活海鲜广场,地址:台湾花莲县花莲市和平路506号 ,8361302
我卖的水果很好吃,地址:自强夜市,
top 烘培房,地址:花莲县花莲市富国路2号 ,8462835
鲜茶道,地址:花莲市中山路422之1.2,
小赖好茶,地址:花莲大东门夜市内,
清心福全冷饮站,地址:花蓮縣花蓮市中華路116號,
一八一烘焙屋,地址:花莲巿中山路181号1楼店面 ,8330346
陈记状元粥铺,地址:轩辕路10号 ,8333864
美仑池上便当,地址:花莲县花莲市中兴路95号 ,8224659
Country Mother's Breakfast,地址:花莲市府前路36号 ,8236008
难得美食刀削面,地址:花莲市商校街135号 ,8342455
丽池饭包,地址:花莲市中山路336号 ,8342777
万家乡精致早餐咖啡连锁,地址:吉安乡自强路 620 号 ,8562882
公正街香酥鸡,地址:中山路41巷,
羊肉明,地址:花莲东大门夜市,
阿美煮100/元热炒,地址:花蓮縣花蓮市中山路29巷3號,
阿妹清粥小菜,地址:花莲市中华路16号 ,831-5419
微笑厨房,地址:台湾花蓮縣新城鄉七星街32號2樓號 ,+886-932-650249
尚品卤卤味味,地址:东大门夜市,
小张面店,地址:國聯五路129號,
杜倫先生,地址:花蓮縣花蓮市中華路23號,
花莲蛋饼大王,地址:花莲市和平路537号 ,8348967
福源,地址:花莲市中福路208号 ,8350836
秘密鸡地,地址:寿丰乡池南村路四段30号 ,8651729
番王臭臭锅,地址:吉安乡南滨路 ,0932521906
美崙红茶,地址:花莲市化道街8号 ,8234899
大福鸡排,地址:东大门原自强夜市E75摊 ,+886-925235823
大呼过瘾臭臭锅,地址:台湾花莲中正路243号,
朱妈妈小吃,地址:台湾花莲县花莲市民国路79号 ,8320046
泥巴咖啡,地址:花莲市中正路561号 ,8350391
花莲小师父,地址:花蓮縣花蓮市國聯五路70號,
潗馔生活坊,地址:花莲市中山路887号 ,8463858
开心鱼场,地址:花莲市中山路一段318巷75弄15号 ,8560309
花莲上老石锅,地址:花莲市民国路159号,
甘杯,"地址:新港街71號 花蓮市, 花蓮縣 970 Taiwan ",+886 3 8315618
福畊食馆,地址:花莲市忠孝街83号 ,8326899
孔记小馆,地址:花蓮市中興路253號1樓 ,8220798
三立冰淇淋,地址:凤林镇中正路265号 ,8760757
游翁韭菜臭豆腐,地址:凤林镇中正路二段20号 ,8763469
重庆市场水果店,地址:花莲市重庆路313号,
東大門夜市正宗石板烤肉,地址:东大门夜市E7 ,0917565865
八方圆小馆,地址:花莲市中美路136号 ,8360818
哦一夕燒烤海鮮,地址:970台湾花蓮縣花蓮市東大門夜市攤位D30,
十一街碳烤,地址:台湾花莲县花莲市中山路110号 ,8312088
正当冰,地址:自强夜市 ,38510925
凤梨湾,"地址:中華路111號 花蓮市, 花蓮縣 970 Taiwan ",+886 3 8360777
晴光紅豆餅,地址:民國路30號,
林记明礼路葱油饼,地址:970台湾花蓮縣花蓮市明禮路18-3號,
青叶餐厅,地址:花莲县凤林镇林荣路225号 ,8771234
九福馅饼粥,地址:花莲市中山路120号,
日安活力早餐,地址:花莲县花莲市中正路48号 ,8331737
余记温州大馄饨,地址:花莲市中美路102号 ,8334747
長興小吃,地址:新城鄉博愛路29号,
池上大地饭包,地址:983台湾花蓮縣富里鄉台9線242號,
猪猪猪原住民美食,地址:花莲市中山路50号东大门夜市D45,
阿香虱目魚,地址:花蓮縣花蓮市福建街445號,
鮮道味,地址:花蓮市中興路261號,
綠色大地健康養生素食坊,"地址:建國路142號 花蓮市, 花蓮縣 970 Taiwan ",+886 3 8326566
麦当劳,地址:吉安乡中华路二段11-1,
炒賣亭小吃,地址:花蓮縣花蓮市中興路55號 ,+886-952930992
弘宇手工烘焙蛋糕专卖店,地址:花莲市中华路330号,
大红番姜母鸭,地址:花莲市明智街69号 ,+886-038325000
四维先生凤梨冰,地址:花蓮縣花蓮市北滨街43號,
千喜日式料理,地址:台湾花蓮縣花蓮市進豐街62-8號,
邓胖子饺子馆,地址:花莲市中正路161号,
叮哥茶饮,地址:花莲县国联五街54号,
綠水休憩區,"地址:綠水地質景觀展示館內B1樓 秀林鄉, 花蓮縣 972 Taiwan ",+886 3 8691359
来来小笼包,地址:花莲市中兴路99号 ,8232537
新港街米粉汤,地址:新港街42号,
德安一街早餐店,地址:花莲县花莲市德安一街59号 ,8335408
玉里一度讚火鍋,地址:花蓮縣玉里鎮中華路116號 ,+886-3-8886699
花玉自助餐,地址:台湾花莲县花莲市中山路422号 ,8337408
调茶局,地址:花莲中山路50號東大門夜市 ,+886-0927334280
北海道日式小吃,地址:花莲县花莲市中原路605号 ,8351695
台南鲁肉饭,地址:花莲福建街507號,
花莲县饼菩提饼,地址:中山路与中华路交叉口 ,8312125
老周传统精致手工,地址:花莲,
赤炸风云,地址:970台湾花蓮縣花蓮市花蓮縣花蓮市,
林家专业炸鸡,地址:中山路50號東大門夜市 ,+886-0928569901
纽约客牛排,地址:花莲市林森路122号 ,8360928
益昌豆浆店,地址:吉安乡北昌村自强路575号,
景视庁,地址:970台湾花蓮縣花蓮市廣東街215號 ,+886-912880867
老家后山菜,地址:花莲县瑞穗乡中兴路25号 ,+886-3-646080
香朵拉咖啡,地址:花莲县花莲市华德街71巷10号 ,8242816
发师の店,地址:花莲市光复街49号 ,289790
上乘三家,地址:花莲市林森路,
茶聚,地址:花莲,
京郁和风拉面,地址:花莲市建国路二段508号 ,8570838
西瓜华,地址:970台湾花蓮縣花蓮市新港街42-3號 ,+886-3-8335889
巧云的店,地址:花莲县花莲市北滨街136号27 ,8351125
武记越南河粉,地址:花莲市信义街107号 ,8360646
熊家好面,地址:花蓮縣花蓮市96號 ,+886-3-8335620
芳草古樹花園,"地址:中和路71號 鳳林鎮, 花蓮縣 975 Taiwan ",+886 3 8760437
千兵卫,地址:台湾省花莲市中山路549之1号,
好树凉糖,地址:花莲市中美路117-1号,
无名早餐店,地址:花莲市中正路与自由路口 ,8338806
周记蒸饺,地址:花莲县花莲市中山路1992号,
金歐滷味,地址:970台湾花蓮縣花蓮市中山路416號,
早安美芝城,地址:台湾花蓮縣花蓮市，花蓮縣花蓮市府前路356號 ,8221696
吳媽媽牛肉麵,地址:明心街48號,
小歇茶舖,"地址:國聯五路45號 花蓮市, 花蓮縣 970 Taiwan ",+886 3 8330258
三妈臭臭锅,"地址:建國路二段255號 吉安鄉, 花蓮縣 973 Taiwan ",+886 3 8567555
贵州辣妹子,地址:和平路366号,
阿姑的店,地址:吉安乡中山路三段226号 ,8535802
随客意臭臭锅,地址:花莲县花莲市彩虹夜市,
传承小馆,地址:建国路二段468,
老卤十三香,地址:台湾花莲市博愛街159巷12號,
山西刀削面,地址:花莲市中强街46号 ,8356313
马拉桑蛤,"地址:花蓮東大門國際觀光夜市,原住民一條街",
味味鲜寿司,地址:中山路533-1號,
黑金通,地址:中山路48號,
莎莉好食,地址:花莲县新城乡七星街106号 ,+886-8323405
太子豚骨ラーメン,地址:花莲市博爱街309号,
甜可养生甜品店,地址:台湾省花莲市民国路13号,
蒋家官财板,地址:吉安乡建國路二段15號,
太鲁阁山月村风味餐,地址:972台湾花蓮縣秀林鄉231-1號 ,+886-3-8611178
香人日式拉面,地址:花蓮縣花蓮市新港街11巷4號,
晨间厨房,地址:花莲市海滨街69号,
小富翁果干蜜饯专卖店,地址:臺灣花蓮縣花蓮市中山路200號 ,+886-3-8328869
德欣池上飯包,地址:花莲县花莲市和平路589巷1号,
Cheese bon,地址:花莲市三民街106号 ,8312092
阿美土产店,地址:凤林镇林荣里大雅街12号 ,1589
红烧牛肉面,地址:花莲国莲五路56号,
诚信麻花,地址:凤林镇大荣三路39号 ,8762911
美仑螺肉,地址:花莲市中美路255号,
不一樣的瘋味蔥捲餅,地址:花蓮縣花蓮市中山路50號之 一,
升火伊娜 烤飞鱼,地址:石梯湾97-2号8781041,
不老部落主题休闲农场,地址:宜兰县大同乡寒溪村华兴巷46号之1 ,9614198
星爷肉骨茶,地址:花莲市中山路477-2号 ,8354499
第一猪脚大王,地址:花莲县和平路283号 ‎,
看巷小烧麻薯冰,地址:花莲夜市,
竹篱笆,地址:国盛八街109号附近 ,05-6113
一芳台湾水果茶,地址:国联五路46号,
马记臭豆腐,地址:台湾花蓮縣花蓮市，花蓮縣花蓮市自強路,
娜滋滋烤鱼,地址:970台湾花蓮縣花蓮市和平路92之6號 ,+886-958361156
Oops惊奇咖啡,地址:花莲市轩辕路15号 ,8314933
虹桥小吃部,地址:花蓮縣豐濱鄉靜浦村靜浦8之2號,
夯肉烧烤热炒,地址:花莲县花莲市仁爱街91号 ,0980246440
四代务农,地址:花莲县凤林镇大荣里大忠路1号 ,0921750866
大石小樹洋食廚房,"地址:明智街71號 花蓮市, 花蓮縣 970 Taiwan ",+886 3 8360020
麦当劳,地址:花莲市中山路551-2号,
原醉酒餐館,"地址:No. 73號, 建國路花蓮市花蓮縣台湾 970",
夏可里朵,地址:970台湾花蓮縣花蓮市中山路121號,
一所悬命小料理,地址:970台湾花蓮縣花蓮市博愛街86號,
纯手工黑糖粉圆专卖店,地址:花莲市中山路50号东大门夜市,
好地方家乡菜馆,地址:台湾花蓮縣花蓮市中山路460號,
爆炸葱油饼,地址:花蓮縣花蓮市復興街102號 ,+886-931121661
Biolove百艾重乳酪蛋糕专卖店,地址:花莲市民族路38之1号 ,8222702
T4清茶達人,地址:花蓮府前路136號,
达鲁岸燒烤,地址:花莲市东大门自强夜市D59,
香滋滋鸡排,地址:台湾花蓮縣花蓮市中山路216號,
CoCo壱番屋,地址:台湾省花莲县花莲市中山路176号,
Mister Donut,地址:花莲县花莲市和平路581号,
富贵,"地址:號, No. 17國聯五路花蓮市花蓮縣台湾 970",
大六牛肉面,地址:970台湾花蓮縣花蓮市府前路108號,
Target,地址:國聯五路38號 ,+886-0938851171
弘爷汉堡,地址:花莲,
舫式布朗奇,地址:970台湾花蓮縣花蓮市國聯一路195號 ,+886-3-8359383
新港街蛋饼,地址:台湾花莲县花莲市新港街68号,
虱目鱼专卖店,地址:970台湾花蓮縣花蓮市富國路5號 ,+886-3-8460322
九如营养三明治,地址:中山路20號,
詹妈妈十谷粥,地址:广复街116 ,0928139207
建国路火鸡肉饭,地址:台湾花莲县花莲市‎国联一路89号 ,8359131
村上村屋,地址:花莲县自由街128-6号 ,8335955
火力雞,地址:973台湾花蓮縣吉安鄉中正路一段221號,
鲜鲷精致料理,地址:花莲市和平一段167号 ,+886-3-8461006
鱼蛋小屋,地址:花莲县吉安乡自强夜市内,
达基力餐厅,地址:花莲县秀林乡崇德村7邻96号,
花莲爱面子牛肉面,地址:花蓮縣花蓮市中山路85號,
MOS Burger,"地址:中山路549之1號 花蓮市, 花蓮縣 970 Taiwan ",+886 3 8316735
艋舺鸡排,地址:林森路347号,
御鼎红,地址:花蓮縣花蓮市民國路三號,
老店家臭豆腐,地址:吉安乡北安街64-1号 ,8567427
浪花丸 かき冰·岛食,地址:花蓮縣花蓮市菁華街4巷1-5號1樓號 ,+886-953563858
蜂之乡蜜蜂爱上花,地址:花莲市中央路四段10号 ,8220777
神牛亭严选日本和牛烧肉餐厅,地址:台湾花莲市府前路400號,
鬼匠拉面,地址:970台湾花蓮縣花蓮市中山路311號,
芊心小吃,地址:新城鄉北埔路248號,
Maytree Coffee,地址:970台湾花蓮縣花蓮市上海街220號,
徐嫂私厨料理,地址:970台湾花蓮縣花蓮市化道路148號 ,+886-972851939
艾迪生咖啡館,地址:軒轅路12號,
浮室soave plan,地址:花莲县花莲市成功街280号,
丸山和食,地址:花莲县寿丰乡学村中正路96巷2-1号 ,0958170620
瓦丹荔,地址:花莲博爱街156号,
5+商行,地址:970台湾花蓮縣花蓮市建國路75巷16弄6號,
中和日海鲜餐厅,地址:花莲市港滨路35-1,
魏記小吃,"地址:府前路364號 花蓮市, 花蓮縣 970 Taiwan ",+886 3 8223309
新老牌牛肉面,地址:北埔路256号,
庆丰面店,地址:花莲县吉安乡中山路三段388号 ,0930901092
Jihang Coffee Shop,"地址:972, 秀林乡花莲市台湾 972",
来成烤肉,地址:花莲市中山路50号东大门夜市摊位C8,
青田生鱼片,地址:花蓮市明義街1-42號附近,
花莲彰化肉圆,地址:吉安乡自立路2号 ,8564410
剑柔山庄,地址:976台湾花蓮縣光復鄉大華街107巷50-3號 ,+886-038700089
大卤桶,地址:中国台湾省花莲市中山路123号,
寿丰早餐,地址:花莲县寿丰乡寿丰车站对面 ,8654889
阿亮鸡排,地址:台湾花莲县花莲市富安路77号 ,09-3266-0482
蔡家汤圆,地址:花莲市光复街37号 ,8325110
杨妈妈红豆饼,地址:花莲市大禹街中正路口 ,0932656202
钟老爹牛肉面,地址:花莲县花莲市民权路7号之4 ,8335863
早安美之城,地址:花莲市中山路644号 ,8577543
小槟城特色南洋面食,地址:仁爱街94号之1 ,+886-3-8361686
欧吧烧烤,地址:中華路435號,
思木屋,地址:970台湾花蓮縣花蓮市光復街72號,
臭豆腐、猪血汤,地址:花莲县吉安乡南滨路,
Huhus Restaurant,地址:巴富洋楼,
育乐新村8号,地址:970台湾花蓮縣花莲市育乐新村8號,
丰川餐厅,地址:花17鄉道,
1/10海鲜烧烤,地址:974台湾花蓮縣壽豐鄉花東海岸公路101號 ,+886-3-0989501876
三和餐厅,地址:972秀林鄉富世段250號 ,3-8612366
庙口肉圆,地址:花莲市中山路50号东大门夜市内摊位A50,
满庭芳太监鸡,地址:北三栈15号 ,8611128
JS創意烘焙,地址:花蓮市中山路397號,
中华炸鸡,地址:花莲老街711旁,
食舍中式海鲜餐馆,地址:花莲县花莲市中华路306号,
项链咖啡工作室,地址:花莲县丰滨乡石梯坪53-1号 ,0935953336
起司马铃薯,地址:花莲彩虹夜市C22,
富佐土鸡城,地址:瑞穗乡瑞北村30号之9 ,8871567
艾米餐饮馆,地址:花莲市大同街4巷4号 ,8342340
花间水舞,地址:台湾花莲县三民街10号 ,8327959
讚前钓虾馆,地址:花莲,
暹逻泰食,地址:花莲市复兴街71号 ,8338600
江順記牛排,"地址:自強夜市內 吉安鄉, 花蓮縣 973 Taiwan ",73184004
八方云集,地址:970台湾花蓮縣花蓮市中山路315號,
布洛湾热炒,地址:东大门夜市,
西海岸 爱呷胡椒虾,地址:970台湾花蓮縣花蓮市海濱街60號 ,+886-989268064
Bar Beer,地址:花莲旧铁道文化商圈附近,
邵禡調酒,地址:970台湾花蓮縣花蓮市中華路39號之9號,
193美式小馆,地址:花莲县花莲市仁爱街129号 ,8311022
阿阳蚵仔煎,地址:花莲市自强路,
蜂巢膠囊,地址:國民十街1號,
北回归线边凤梨摊位,地址:台湾花莲县瑞穗乡舞鹤村,
和敬清寂,地址:花莲市中美路95-2号 ,+886-3-8225051
慢吞吞手作碳烤吐司,地址:970台湾花蓮縣花蓮市新港街15號,
傻瓜冰茶,地址:970台湾花蓮縣花蓮市中正路206號,
鲜盈水果,地址:970台湾花蓮縣花蓮市中华路277號,
黑糖挫冰,地址:建國路二段,
美美味葱油饼,地址:花莲市中兴路160号,
拔丝地瓜·芋头,地址:花莲,
吴家饼铺,地址:中华路325-11号（靠近花莲富野度假酒店） ,8310789
台湾自由行包车,地址:花莲市北滨街2号 ,0952321333
滷大王麻辣燙,地址:花蓮市國聯五路42號,
芙芮莉,地址:花莲市明礼路49号 ,8340976
石梯小吃,地址:丰滨乡港口村石梯坪,
香蕉煎饼,地址:花莲自强夜市,
花莲无名早餐店,地址:花莲县花莲市民权四街36号 ,8330290
九州饭团,地址:花莲市和平路378号,
滷大夫,地址:花蓮市和平路560號,
和敬清寂无糖冷饮专职店,地址:花莲县花莲市和平路556号 ,8353100
世纪蛋糕,地址:吉安乡中正路一段30号 ,8535970
ca ca ice 夏威夷冰 燈泡飲料,地址:博愛街台灣東大門夜市,
花东特蔬便当,地址:花莲火车站检票口入口处,
奇波熱狗寶,地址:台湾花蓮縣花蓮市原住民 一條街E15,
小小洋房,地址:花莲县花莲市菁华街4巷1-6号1楼 ,8311610
半天红麻辣馆,地址:97161台湾花蓮縣新城鄉博愛路9號,
广来商店,地址:花莲市公园路29号 ,8351725
张家水煎包,地址:970台湾花蓮縣花蓮市和平路388號,
重慶路胡椒餅,地址:花蓮市重慶路321號,
一鼎红麻辣馆,地址:花莲市庄敬路158-1号 ,8577080
荖溪小吃店,地址:寿丰乡池南路五段82号 ,8653720
烧宗哥爆浆鸡肉卷,地址:自强夜市,
万佳乡早餐,地址:花莲市中福路200-1号 ,8355188
银座食堂,地址:970台湾花蓮縣花蓮市中山路94號,
面面俱到,地址:台湾花莲吉安乡,
艋舺老宋甜不辣,地址:970台湾花蓮縣花蓮市建國路272號,
东美冰果室,地址:玉里镇中山路一段210号 ,8881689
鲨鱼烟,地址:970台湾花蓮縣花蓮市和平路281-283號,
肉粽伯,地址:花莲县寿丰乡志学村中正路96巷16号,
粥店,地址:花莲县寿丰乡志学村中正路84号,
渝 烤魚,地址:花蓮市中山路651號 ,3-0963381696
太监鸡,地址:蘇花公路,
古早味石头火锅,地址:吉安乡中华路二段231号 ,0939281191
柏云休闲农场,地址:花莲县秀林乡秀林村民治路75-4号 ,8611733
Countryside,地址:国聊一路145号,
凤林小学臭豆腐,地址:975台湾花蓮縣鳳林鎮中正路二段1號,
春龙小吃,地址:吉安乡自强路31号 ,8523446
顺意发烧腊,地址:瑞穗中山路二段,
魔法猪脆皮鸡蛋糕,地址:970台湾花蓮縣花蓮市和平路619巷4號,
叶子厨房,地址:花莲县寿丰乡志学村中山路三段92号 ,8661915
木子食堂,地址:花莲县花莲市博爱街238号 ,38322038
苗家美食,地址:花莲市仁和街16号 ,8538578
华南排骨店,地址:台湾省,
荷屋,地址:花莲县吉安乡海岸路237号 ,+886-3-8522128
自在园餐厅,地址:秀林乡佳民村95-6号 ,8268000
鳳記鍋貼店,地址:中美路230號,
香香香饭店,地址:瑞穗乡中山路一段10号 ,8871794
栈帮火锅,地址:970台湾花蓮縣花蓮市民國路177號 ,+886-3-8311737
李記煎餃,"地址:號, No. 103建國路花莲市台湾 970 ",+886-3-8311367
陈品面坊,地址:博爱街223之1,
小紅荳烧烤,地址:花莲县寿丰乡寿兴街6号,
秀绿,地址:970台湾花蓮縣花蓮市商校街32號 ,+886-3-8352068
猿羽川料理环岛计划,地址:970台湾花蓮縣花蓮市永興路3號 ,+886-3-8232988
巴蜀传奇,地址:970台湾花蓮縣花蓮市德安一街38號,
老樟轻食馆,地址:中美路5号-8号 ,3-723606
德森有机农场,地址:富里乡竹田村25邻8号 ,8821665
河南砂锅,地址:花莲市民国路105号 ,8315996
新美香烧肉店,地址:花莲市国富十街68号 ,0936-276-258
侬好侬好上海私房小菜,地址:花蓮縣花蓮市中美路71號 ,+886-3-8228766
锅贴素抓饼,地址:973台湾花蓮縣吉安鄉花25鄉道43號,
SYABU-YO,地址:台湾花蓮縣花蓮市和平路581號,
老材房,地址:花莲市信义街19号前 ,0910521058
大禹街龙凤腿,地址:花莲市大禹街75号 ,0928847388
花莲一品香,地址:花莲县光复乡大进村糖厂街19号,
瑞麟美而美,地址:寿丰乡志学村中正路161号 ,8663636
六里屯麵食專家,地址:花蓮縣吉安鄉建國路一段302號,
Chicago Restaurant and Bar,"地址:中国,花莲县,中山路151号,970",
晶晶冰铺,地址:光复乡中山路二段352号 ,8700992
邱家豆花,地址:花蓮縣壽豐鄉壽豐路一段87號 ,8656980
阙妈妈的店,地址:花莲市主安里荣正街159号1楼 ,38349982
大好き｜丼物专门,地址:花莲市忠孝街970,
阿德师乌骨鸡,地址:吉安乡建国路一段27-1号 ,038561898
双叶餐厅,地址:981台湾花蓮縣玉里鎮花蓮縣玉里鎮光復路78號,
走后门杂货 咖啡 点心,地址:970台湾花蓮縣花蓮市北昌一街14號 ,+886-911131763
鹅肉英仔,地址:花莲县玉里镇中华路41号 ,3-038884849
斌GO現剖冰椰子,地址:七星潭賞星廣場,
乳猪王原住民风味美食,地址:970台湾花莲市中山路20號,
拿坡里,地址:花莲县花莲市中华路6号 ,+886-3-8330816
极焰燃面,地址:970台湾花蓮縣花蓮市林森路405巷1號 ,+886-3-8350612
大汤渔人料理海鲜餐厅,地址:吉安乡和平路一段45-89号 ,857-8178
旬寿司,地址:吉安鄉建國路一段220號,
九鱻奶油酥条,地址:自强路 ,8320718
棉花糖早午餐,地址:花蓮縣花蓮市林森路205號1樓,
